frequency,db(v(vout))
2.23872114e+08,-1.42323254e+01
2.51188643e+08,-1.42304596e+01
2.81838293e+08,-1.42281314e+01
3.16227766e+08,-1.42252333e+01
3.54813389e+08,-1.42216375e+01
3.98107171e+08,-1.42171937e+01
4.46683592e+08,-1.42117306e+01
5.01187234e+08,-1.42050600e+01
5.62341325e+08,-1.41969878e+01
6.30957344e+08,-1.41873359e+01
7.07945784e+08,-1.41759832e+01
7.94328235e+08,-1.41629337e+01
8.91250938e+08,-1.41484302e+01
1.00000000e+09,-1.41331308e+01
1.12201845e+09,-1.41183763e+01
1.25892541e+09,-1.41065727e+01
1.41253754e+09,-1.41017026e+01
1.58489319e+09,-1.41099382e+01
1.77827941e+09,-1.41402396e+01
1.99526231e+09,-1.42046659e+01
2.23872114e+09,-1.43179365e+01
2.51188643e+09,-1.44956942e+01
2.81838293e+09,-1.47511979e+01
3.16227766e+09,-1.50910297e+01
3.54813389e+09,-1.55114885e+01
3.98107171e+09,-1.59976779e+01
4.46683592e+09,-1.65261160e+01
5.01187234e+09,-1.70697354e+01
5.62341325e+09,-1.76030506e+01
6.30957344e+09,-1.81057393e+01
7.07945784e+09,-1.85641094e+01
7.94328235e+09,-1.89708707e+01
8.91250938e+09,-1.93239554e+01
1.00000000e+10,-1.96250291e+01
1.12201845e+10,-1.98780951e+01
1.25892541e+10,-2.00883726e+01
1.41253754e+10,-2.02614921e+01
1.58489319e+10,-2.04029714e+01
1.77827941e+10,-2.05179113e+01
1.99526231e+10,-2.06108468e+01
2.23872114e+10,-2.06857006e+01
2.51188643e+10,-2.07457980e+01
2.81838293e+10,-2.07939160e+01
3.16227766e+10,-2.08323467e+01
3.54813389e+10,-2.08629645e+01
3.98107171e+10,-2.08872908e+01
4.46683592e+10,-2.09065526e+01
5.01187234e+10,-2.09217329e+01
5.62341325e+10,-2.09336145e+01
6.30957344e+10,-2.09428163e+01
7.07945784e+10,-2.09498227e+01
7.94328235e+10,-2.09550085e+01
8.91250938e+10,-2.09586587e+01
1.00000000e+11,-2.09609848e+01
1.12201845e+11,-2.09621385e+01
1.25892541e+11,-2.09622236e+01
